participant_id,  You are a  ,Education (Currently doing / Completed),Age,What is your field of study or profession ?,Do you have any programming experience?,Do you have any experience with testing any system or application? ,Have you ever been in a self-driving car?,"Do you drive motorbikes, cars etc? ",What kind of vehicle do you drive ?,How many years of driving experience do you have?,How would you rate your driving skills?,How ethically appropriate was the car’s decision in Scenario 1?,Please explain why you judged Scenario 1 as you did.,How ethically appropriate was the car’s decision in Scenario 2?,Please explain why you judged Scenario 2 as you did.,How ethically appropriate was the car’s decision in Scenario 3?,Please explain why you judged Scenario 3 as you did.,How ethically appropriate was the car’s decision in Scenario 4?,Please explain why you judged Scenario 4 as you did.,Did participating in this experiment change the way you think about the ethical behavior of self-driving cars?,Please write in a few words on your experience and suggestions.,"Considering the scenarios you have been exposed to, do you think that a self-driving car’s safe behavior always aligns with its ethical behavior?",Please explain why you answered as you did. Provide also feedback on the survey if relevant for you.
P15,Student,Bachelors,18-25,Computational Linguistics,2-5 years,None,No,Yes,4 wheelers (light-duty vehicles like cars and vans),2-5 years,Intermediate,Neutral,He seemed to wait for the car to cross,Unethical,Seems dangerous,Neutral,Acts like a human,Unethical,Forbidden by law,No – my perception did not change,Examples are very limited and few,No – A car can be safe but still act unethically (or vice versa),Felt right
P16,Student,PhD,18-25,Computer Science,2-5 years,Less than one year,No,No,,,,Ethical,"The behaviour looks normal, ethical and legal, according also to the Traffic code",Unethical,This movements from the self-driving car is basically illegal,Ethical,"At an intersection, a self-driving car should activate its turn signal to show where it intends to go. But if we skip this legal step, the behaviour is quite ethical",Unethical,Totally illegal and unethical,No – my perception did not change,"I would like to thank the authors for addressing the important question of the ethical behavior of self-driving cars.
As a small suggestion, if the simulator allows, it could be valuable to integrate elements of the Traffic Code into the demonstrations. This would reflect the fact that not only should the car consider the pedestrian’s next step, but pedestrians also need clear indicators from the car.",Yes – Safe behavior and ethical behavior always go hand in hand,"Of course, safe behaviour plays a crucial role on the road. In the case of self-driving cars, we need to consider both ethical behaviour and the Traffic Code, because in non–self-driving cars the driver is responsible for all decisions. In the future, this work could be extended within the law paradigm."
P17,Professional,Masters,36-40,Social Science,None,>5 years,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,The car stopped and it seems it identifies the pedestrian would not cross. Perhaps an autonomous car could have waited longer.,Unethical,The car was a treat to the pedestrian. It should have waited without adding any preassure to the crissing,Unethical,"As a self-driving car it should be more cautious. The pedestrian was with his back to the street but I don’t know if the vehicle is able of identifying this detail. Also if it was a kid, an accident could be caused if the kid runs unexpectedly ",Unethical,The car must wait for the pedestrian ,Yes – the scenarios made me elaborating a different perception,No comments,No – A car can be safe but still act unethically (or vice versa),N/a
P18,Professional,PhD,31-35,Computer Science,>5 years,>5 years,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,The pedestrian did not give the impression that they want to cross. The car may continue because it does not break any rules or impede anyone,Unethical,The acceleration of the car while the pedestrian is in front of it is dangerous. It may hit the pedestrian or may startle the person which could lead to unforeseeable situations. The car should way until the pedestrian has left the road or at least the car's lane with sufficient margin. ,Ethical,"While the pedestrian stands close to the crosswalk, they face away from it. Thus, it can be assumed that the pedestrian does not want to cross the street. The situations might have to be handled differently in case of a child, e.g., slower driving. ",Unethical,The car could have hit the pedestrian injuring them in the process. ,No – my perception did not change,"The text descriptions helped with understanding each scenario. Having different views of the same scene could further help to better grasp the situation, if more complex scenarios should be presented. 

I found that the answers were straightforward and did not have to think about ethical implications, but perhaps this was the intention as well.  ",No – A car can be safe but still act unethically (or vice versa),"While I believe that there safety mostly aligns with ethical behavior, I do think that there are cases in which a car can be considered safe even though it may act unethically. For example, a car may be able to ensure that it never hits a pedestrian, which could be considered safe, but at the same time startle or impede pedestrians which could be considered unethical. "
P19,Both Student and Professional,PhD,31-35,Computer Science,>5 years,1-2 years,No,Yes,4 wheelers (light-duty vehicles like cars and vans),Less than one year,Beginner,Ethical,"It gave priority to the pedestrian to cross the street. Afterwards, it moved because the person showed no intention of crossing.",Unethical,"I think the car didn’t hit the person, but it could have felt like a threat to the pedestrian’s safety.",Unethical,I think the car should have stopped before the wrong crosswalk. It should have stopped at the one closer to the pedestrian.,Unethical,"That was a serious fault by the car. The pedestrian was crossing the street, and it kept driving, putting the person in danger.",Yes – the scenarios made me elaborating a different perception,"I found it interesting that I didn’t select Neutral in any scenario. Even though some made me think, in others I was pretty sure.",Yes – Safe behavior and ethical behavior always go hand in hand,"To me, safety and ethical behavior go hand in hand for self-driving cars. If there’s any chance of hurting someone, the car should always take the safer decision."
P20,Both Student and Professional,PhD,26-30,Computer Science,2-5 years,None,No,Yes,4 wheelers (light-duty vehicles like cars and vans),1-2 years,Intermediate,Ethical,"Since the pedestrian does not have intention to cross the road, SDC behavior is ethical",Unethical,Behavior is unethical due to not waiting pedestrian to finish his action,Ethical,"Since it is clear that pedestrian does not have intention to cross, it is ethical ",Unethical,"SDC does not provide time to pedestrian to finish his action, it is unethical",No – my perception did not change,There can be more diverse scenarios ,No – A car can be safe but still act unethically (or vice versa),It is safe from its own perspective when there is a car stopped near the road however it is not ethical
P21,Professional,Masters,31-35,Robotics,2-5 years,1-2 years,Yes,Yes,2 wheelers (Motorbikes);4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,Waiting might have caused a deadlock in case the pedestrian had actually no intention to cross,Unethical,The car should chill. That’s very aggressive driving and unlawful. Autonomous Cars must inspire a sense of trust for everyone on the road,Ethical,The dude better not cross backwards. The car understands the context and that the person would walk in the direction is looking at,Unethical,Car should yield to the pedestrian by law,No – my perception did not change,"Rather than ethical and unethical, the observed scenarios are to be judged from a legal perspective. Ethical dilemmas arise when no choice lead to a legal outcome (i.e trolley problem)",Yes – Safe behavior and ethical behavior always go hand in hand,Trust of general public in autonomous driving needs to be built by analogy to the existing social and legal norms influencing driving behaviors. It would be hard to feel safe when a car that looks like a manned vehicle behaves like a super car (because of very advanced tech that allow eg faster reaction times) in an environment dominated by human agents. Maybe this condition can change in the future once autonomous car are commonly accepted as a safe travel option 
P22,Student,PhD,18-25,Computer Science,2-5 years,1-2 years,No,Yes,2 wheelers (Motorbikes);4 wheelers (light-duty vehicles like cars and vans),>5 years,Intermediate,Ethical,"The car's decision was ethical because it properly stopped at the stop sign and made a reasonable assessment that the pedestrian, who was standing far from the crosswalk with no apparent intent to cross, posed no immediate safety risk. This demonstrates appropriate rule-following combined with practical risk evaluation that balances safety with efficient traffic flow.",Unethical,"The car's decision to move forward while the pedestrian was still actively crossing the crosswalk violates the fundamental principle of pedestrian right-of-way, even though no physical harm occurred. This behavior can be intimidating and creates unnecessary risk and anxiety for the pedestrian, prioritizing minor efficiency gains over proper safety protocol and pedestrian comfort.",Unethical,"The car's decision to continue driving without stopping when a pedestrian is standing next to a crosswalk demonstrates inadequate caution and risk assessment. Even though the pedestrian didn't intend to cross, the car should have slowed or stopped to properly evaluate the situation, as pedestrians can change their minds suddenly and the safest practice near crosswalks is to exercise heightened vigilance.",Unethical,"The car's decision to continue driving and almost hit a pedestrian who was actively crossing in the crosswalk represents a severe safety violation that could have resulted in serious injury or death. Pedestrians have absolute right-of-way in crosswalks, and the car's failure to stop and wait demonstrates unacceptable risk tolerance that prioritizes speed over human safety.",Yes – the scenarios made me elaborating a different perception,"This exercise highlighted how context-dependent ethical decisions are for autonomous vehicles. The scenarios effectively demonstrated the spectrum from appropriate risk assessment (Scenario 1) to unacceptable safety violations (Scenario 4). The middle cases (2 & 3) were particularly valuable for illustrating nuanced situations where pedestrian intent and positioning matter significantly.
For future experiments, it might be helpful to include scenarios with multiple pedestrians or varying weather conditions to explore additional complexity in ethical decision-making.",No – A car can be safe but still act unethically (or vice versa),"The scenarios clearly demonstrated that safety and ethics don't always align. Scenario 2 was particularly illustrative – the car technically avoided a collision (safe outcome) but violated pedestrian right-of-way and created unnecessary stress by moving forward while someone was crossing (unethical behavior).
Safety focuses primarily on avoiding physical harm, while ethics encompasses broader considerations like respecting rights, following social norms, maintaining trust, and considering psychological impacts. A self-driving car could theoretically calculate that it can squeeze past a pedestrian without hitting them, making it ""safe"" in collision terms, but this behavior would still be unethical due to intimidation and rule violations.
Conversely, there might be emergency situations where the most ethical choice (minimizing overall harm) requires technically ""unsafe"" maneuvers.


Survey feedback: The scenarios effectively illustrated these nuanced distinctions. Future research might benefit from exploring edge cases where ethical and safety considerations explicitly conflict, helping to inform how autonomous vehicles should prioritize competing values."
P23,Professional,Postdoc,26-30,Neuroscience,>5 years,>5 years,No,Yes,2 wheelers (Motorbikes);4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,Seems like the best outcome: the pedestrian was given the chance to cross safely and the passengers of the car were eventually progressed towards their destination,Unethical,"Stressful for the pedestrian, scary for the passengers, risky in general",Unethical,It should have slowed down to double-check the pedestrian was not going to cross the road. ,Unethical,"risky, stressful",No – my perception did not change,There's no difference between these cases and ones where the same thing happened but a human was driving. I didn't feel like any of these were ambiguous either.,No – A car can be safe but still act unethically (or vice versa),"A car, self driving or not, can be safe (statistically unlikely to cause an accident) while being unethical because e.g. it makes people stressed, scared, etc."
P24,Professional,Masters,26-30,Computer Science,>5 years,2-5 years,Yes,No,,,,Ethical,"I think the car took the appropriate ethical decision to stop at the crossing so the pedestrian has time to cross. Because the car waited some time before proceeding, I find it ethical. Once the pedestrian showed no interest in crossing, the car proceeded further, which I find natural to do.",Unethical,I find the car‘s decision to not wait until the pedestrian crossed unethical. Because the car proceeded before the pedestrian was finished crossing it could inspire fear to the pedestrian: the car might hit them.,Neutral,I find the car‘s decision neutral because the pedestrian showed no interest in crossing neither of the crosswalks but the car only slowed down at the first crosswalk.,Unethical,"The car didn’t stop at the crosswalk and proceeded forward even though the pedestrian was crossing, potentially put their life in danger. It felt as a very unsafe situation for the pedestrian.",Yes – the scenarios made me elaborating a different perception,I think the variations of the scenarios from the study highlight how small changes in the behavior of the self driving car can determine it’s behavior as ethical or unethical.,No – A car can be safe but still act unethically (or vice versa),"I think a behavior of a self-driving car is safe when it doesn’t put any subjects in a dangerous, life-threatening or distressing situation. Because ethical behavior can go much further from the scope of safely driving, such as focusing on details irrelevant /unrelated to the safety of the people, my opinion is that they don’t always go hand in hand. "
P25,Professional,PhD,41-45,Physics,Less than one year,None,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Neutral,It is not a dangerous situation. Just standard mutual understanding among people sharing the road ,Unethical,Car behaves aggressively ,Ethical,Car stops in front of crossing ,Unethical,Car almost runs over pedestrian ,No – my perception did not change,Unethical behavior is easier to identify ,Yes – Safe behavior and ethical behavior always go hand in hand,Being safe is an ethical behavior 
P26,Both Student and Professional,PhD,36-40,Robotics,>5 years,Less than one year,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Intermediate,Ethical,Because that's the way car drivers behave in similar situations,Unethical,"Because with this type of behavior, the pedestrian might be frightened",Neutral,"Because as in the description is said the pedestrian did not intend to cross the road, but as he was standing next to the crosswalk it is ethical that the SDC stops",Unethical,Because the SDC's behavior was dangerous and it can hurt the pedestrian,No – my perception did not change,I don't like the way human walks because it seems that it is running on a treadmill and it is not like a human walking,Unsure,"Because safety and ethical behavior are not measurable, at least they cannot be measured easily,  and in different circumstances they can go hand in hand or not"
P27,Professional,Postdoc,51-55,Physics,>5 years,>5 years,Yes,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Intermediate,Ethical,Pedestrian did not show intention to cross the road,Neutral,"It's illegal, not unethical. The car must wait until the way is free at least",Ethical,"The pedestrian did not show intention to cross the road. But the car was too fast, so it's not the most prudent implementation of an ethical decision :-)",Unethical,"This is border line between impatient driver (neutral) and unethical driver (who does not care about the pedestrian). The automatic driving system should never behave like this unless there is a life or death choice to be made, therefore I flagged it as unethical",No – my perception did not change,"There are situations in which even the fourth behaviour would be justified, for example if it protects the pedestrian from another vehicle going to hit him. Real life conditions are much much more complex than what you exposed here :-)",No – A car can be safe but still act unethically (or vice versa),I commented already on a couple of videos
P28,Both Student and Professional,Masters,26-30,Computer Science,>5 years,1-2 years,No,Yes,2 wheelers (Motorbikes);4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Unethical,The car should wait for the pedestrian ,Unethical,The car should wait for the pedestrian to cross the road before moving and not rush the pedestrian ,Ethical,Correct decision by the driver ,Unethical,the car should wait for the pedestrian to cross the road ,No – my perception did not change,"In my experience, before moving, the car must always wait for the pedestrian to cross the road, as it could commit an unpredictable action that could cause an accident and injure the pedestrian.",Yes – Safe behavior and ethical behavior always go hand in hand,"Correct driving is always done ethically; accidents are mostly caused by incorrect and, above all, unethical behavior."
P29,Professional,PhD,41-45,Computer Science,>5 years,>5 years,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,"The car yields, providing the pedestrian with a safe opportunity to cross the road.",Unethical,Moving forward poses a risk to the pedestrian.,Unethical,"It is safer for the car to stop, as the pedestrian may suddenly decide to cross the road.",Unethical,"At pedestrian crossings, cars must always prioritize the safety of those walking. In this case, the car risks hitting the pedestrian.",No – my perception did not change,"I strongly believe that the safety of pedestrians should always be safeguarded, especially in downtown areas where vulnerable road users face the greatest risks. Protecting them is not only a legal obligation but also an ethical duty that contributes to safer, more livable communities. Therefore, cars should always reduce their speed when approaching pedestrian crossings, especially where visibility is limited, and be prepared to stop, as pedestrians may step onto the crossing at the last minute.",No – A car can be safe but still act unethically (or vice versa),"For example, once a pedestrian willing to cross is identified, the car continues slowly forward until it comes very close to the crossing, instead of stopping immediately. This would ensure safety—because the car is moving slowly enough to stop if someone steps out—but its behavior is unethical as it pressures the pedestrian into not crossing."
P30,Professional,Masters,56<,Economics,None,None,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,"Person was standing before car approached and remained standing after car stopped. Furthermore, person was way behind the intersection",Unethical,Car should stop and resume driving only after pedestrian has reached the pavement on the other side ,Unethical,Car should always stop and resume driving after pedestrian has crossed or clearly signaled intention not to cross,Unethical,Same as previous case,No – my perception did not change,A,Unsure,My knowledge of the issue is limited and it is difficult to opine in this situation
P31,Both Student and Professional,PhD,26-30,Robotics,2-5 years,Less than one year,No,Yes,4 wheelers (light-duty vehicles like cars and vans),2-5 years,Intermediate,Ethical,"the car did come to a stop expecting the passenger would cross, but it is clear the passenger is not crossing so i think it is fine to move forward",Neutral,since the car starts to move only after teh person has moved past the car it is fine and quite common in the real world,Neutral,"from the video, it feels like the intention of the pedestrian to not cross the road is quite evident, but still it would be legally and ethically better to stop or move slowely past teh crosswalk",Unethical,very unethical and really dangerous. something like this would probably result in a heavy fine or even license suspension if the authorities were monitoring. ,Yes – the scenarios made me elaborating a different perception,"was an interesting study, makes me wonder the skill of driving is not just strictly following rules but also judging to what extent rules can be bent to improve performance, or save time without having a negative effect on safety of the environment and people nearby",Yes – Safe behavior and ethical behavior always go hand in hand,i think safe behavior can be ethically neutral but not unethical.
P32,Professional,PhD,31-35,Computer Science,>5 years,2-5 years,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Intermediate,Neutral,"The SDC correctly obeys the stop sign. It is behaving legally, but there is no ethical judgment involved.",Unethical,"Getting closer to the pedestrian may be interpreted as aggressive behaviour. In some countries, halting the car on the crosswalk stripes might also be outright illegal.",Neutral,Like scenario 1. The car is simply following the road code.,Unethical,"The pedestrian has engaged the crosswalk, so the car should stand still until the pedestrian has cleared it (or at least the part crossing the car's lane)",Yes – the scenarios made me elaborating a different perception,"Scenarios 2 and 4 made me think how typical safety specification (e.g., the car should not hit a pedestrian) do not take into account the perceived quality of the car's behaviour, its adherence to social norms, etc. Well done!",No – A car can be safe but still act unethically (or vice versa),"See my previous answer, especially Scenario 2 (in Scenario 4 one may more easily argue that the car is just plainly not following the rules of the road code, and thus is not acting safely)"
